
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,41.16,67.18,109.47,77.19,27.24,47.75,68.37,18.96,32.94,38.63,105.57,64.68
1963,109.48,69.30,42.89,54.17,67.69,74.75,64.50,56.22,57.55,35.98,45.10,89.67
1964,8.13,38.18,61.54,65.72,88.10,82.21,68.33,48.97,102.59,86.47,67.99,85.20
1965,54.78,56.39,39.19,73.78,79.40,90.09,48.40,45.25,48.90,1.79,92.51,89.86
1966,85.00,43.85,48.22,64.45,82.45,89.04,98.48,50.73,33.45,66.62,89.83,88.82
1967,52.61,23.13,53.81,78.13,88.06,101.22,64.97,21.75,88.89,25.43,38.90,87.41
1968,79.82,42.81,32.68,17.86,58.17,86.75,64.05,127.21,88.05,17.06,86.84,67.18
1969,43.11,102.59,52.65,42.78,43.31,167.06,77.19,75.21,50.87,7.99,53.10,144.18
1970,66.49,87.38,68.45,69.37,113.28,82.19,119.08,66.20,24.29,61.35,51.55,45.69
1971,66.53,45.26,59.96,43.46,74.78,85.29,65.04,36.55,88.64,26.88,55.00,26.67
1972,30.58,40.70,13.32,70.17,64.74,46.08,129.54,97.05,91.58,117.19,67.58,5.79
1973,31.58,58.00,37.93,89.72,46.31,78.97,74.49,46.32,63.38,50.29,50.10,54.21
1974,33.35,37.94,27.04,56.60,112.61,125.37,48.89,60.08,70.60,147.73,61.52,66.45
1975,23.35,13.77,40.65,56.64,116.05,116.99,89.46,106.82,29.89,76.89,58.55,15.32
1976,67.25,16.98,29.70,69.05,74.16,106.56,78.28,78.96,85.67,56.14,74.21,67.99
1977,52.74,75.34,46.03,61.60,54.48,66.73,77.19,70.24,69.23,25.29,85.20,66.63
1978,34.86,79.43,66.51,59.49,127.89,120.51,48.49,30.24,124.29,19.35,20.49,70.26
1979,84.19,49.05,38.71,65.94,68.33,94.09,74.57,88.05,34.75,71.34,78.60,54.67
1980,63.47,36.85,56.30,66.55,137.78,70.84,62.30,50.34,33.89,87.80,100.69,78.87
1981,61.22,34.01,77.16,52.28,64.38,106.35,56.68,56.02,80.06,82.15,79.78,96.89
1982,38.21,22.71,70.56,64.57,40.57,66.64,103.63,62.86,29.14,66.38,34.43,80.61
1983,25.80,43.40,27.64,36.18,61.37,126.14,71.26,33.89,79.42,29.04,36.92,46.37
1984,73.10,67.58,56.19,46.02,86.30,66.22,48.62,60.44,65.72,37.57,48.34,31.89
1985,56.98,51.29,46.02,53.67,54.50,86.92,23.35,97.89,14.97,16.26,120.28,32.57
1986,75.22,94.43,46.95,54.24,60.59,92.99,97.70,33.41,13.57,40.64,12.76,43.22
1987,96.70,22.51,62.93,71.69,136.62,62.54,50.73,48.77,22.89,34.29,87.32,55.99
1988,41.34,57.25,85.52,50.52,51.34,88.25,21.76,27.24,65.38,36.66,60.98,48.41
1989,5.44,18.02,44.50,70.27,85.81,128.03,52.33,93.23,53.24,52.85,64.42,31.42
1990,11.36,35.16,26.11,70.02,48.50,75.80,41.44,29.09,46.98,45.54,43.59,98.06
1991,21.01,49.17,41.34,70.11,109.32,65.62,130.33,64.15,42.16,107.44,80.58,35.08
1992,14.12,29.15,19.58,64.80,47.46,155.70,47.13,15.02,36.71,105.27,66.34,39.15
1993,19.79,19.26,63.14,37.32,54.53,57.61,41.06,38.93,67.48,42.37,84.11,76.78
1994,45.84,37.64,25.65,87.51,55.20,70.02,60.82,61.85,51.70,58.69,26.29,41.29
1995,69.61,49.36,57.07,53.76,90.50,102.37,71.75,82.71,99.70,8.05,61.14,102.29
1996,44.09,57.95,47.20,52.94,96.44,53.31,36.83,70.15,162.44,48.21,74.61,88.23
1997,32.16,34.86,29.22,71.54,58.48,55.73,84.45,85.27,23.68,95.18,46.85,86.79
1998,62.42,18.12,22.52,56.63,73.81,74.00,81.44,52.56,121.06,95.24,71.54,45.68
1999,47.92,76.02,33.54,77.19,68.52,109.46,114.32,37.34,66.54,49.06,82.43,128.66
2000,32.14,28.98,43.01,54.84,34.28,31.10,53.19,11.21,70.55,28.25,47.93,54.21
2001,68.14,33.74,62.54,83.79,62.44,124.87,55.26,37.44,144.98,15.28,74.42,35.31
2002,20.11,28.22,28.80,71.24,82.89,64.71,79.91,93.42,99.61,81.11,44.67,58.87
2003,88.70,32.76,9.50,38.48,54.64,59.39,68.87,19.44,69.02,132.12,48.27,40.07
2004,72.65,51.50,39.21,88.53,87.43,90.52,72.70,68.76,57.35,59.43,106.92,67.73
2005,42.00,84.33,55.64,63.92,74.63,91.83,117.70,127.72,86.69,28.28,38.01,98.91
2006,40.15,54.40,80.37,74.24,60.35,112.28,53.22,121.13,45.26,38.16,33.98,39.63
2007,52.32,64.41,68.46,10.83,93.87,76.78,31.43,66.94,89.77,96.72,107.36,45.41
2008,36.60,11.56,77.27,65.81,53.08,119.11,70.89,31.31,82.91,38.25,56.89,75.87
2009,72.00,56.77,56.47,30.43,49.18,129.92,61.87,59.83,36.09,93.12,69.62,107.18
2010,77.45,100.13,53.51,67.64,117.62,138.68,54.73,54.78,94.82,77.71,79.66,98.26
2011,30.74,35.27,40.34,21.51,68.66,45.83,109.47,24.74,32.06,46.04,9.20,62.11
2012,52.64,55.28,8.85,85.56,115.45,47.08,50.42,15.78,52.23,78.54,40.36,74.91
2013,72.86,75.97,98.98,50.09,107.21,84.68,31.92,43.95,85.84,56.01,62.92,11.08
2014,49.29,46.01,41.09,67.82,125.30,106.87,137.28,67.10,132.57,79.76,40.96,79.88
2015,66.56,55.28,65.69,35.22,69.54,72.50,27.31,72.69,86.16,110.74,56.32,6.34
2016,74.44,74.74,79.17,48.92,112.87,146.96,83.71,57.80,59.21,88.92,72.09,6.36
2017,32.68,44.87,41.81,54.27,73.44,61.77,71.56,33.80,81.54,58.45,67.64,77.75
2018,48.24,80.63,95.75,25.68,78.08,134.58,81.84,31.73,24.75,25.68,53.49,57.03
2019,60.59,29.03,14.08,77.94,139.97,98.72,99.17,39.13,43.51,25.16,88.98,57.90
2020,19.06,51.38,63.02,26.98,55.53,106.44,76.18,75.95,55.98,96.90,16.89,84.20
2021,88.98,41.47,48.53,52.77,79.38,39.26,52.57,66.08,35.16,71.94,87.14,117.98
