2004/01/01,236
2004/01/02,233
2004/01/03,234
2004/01/04,240
2004/01/05,248
2004/01/06,255
2004/01/07,261
2004/01/08,259
2004/01/09,252
2004/01/10,242
2004/01/11,233
2004/01/12,231
2004/01/13,229
2004/01/14,232
2004/01/15,240
2004/01/16,245
2004/01/17,270
2004/01/18,304
2004/01/19,342
2004/01/20,366
2004/01/21,386
2004/01/22,410
2004/01/23,426
2004/01/24,429
2004/01/25,421
2004/01/26,404
2004/01/27,382
2004/01/28,357
2004/01/29,329
2004/01/30,314
2004/01/31,301
2004/02/01,292
2004/02/02,284
2004/02/03,276
2004/02/04,272
2004/02/05,276
2004/02/06,285
2004/02/07,300
2004/02/08,321
2004/02/09,349
2004/02/10,367
2004/02/11,391
2004/02/12,407
2004/02/13,415
2004/02/14,414
2004/02/15,406
2004/02/16,400
2004/02/17,385
2004/02/18,363
2004/02/19,343
2004/02/20,329
2004/02/21,321
2004/02/22,324
2004/02/23,317
2004/02/24,305
2004/02/25,299
2004/02/26,304
2004/02/27,318
2004/02/28,337
2004/02/29,377
2004/03/01,410
2004/03/02,429
2004/03/03,435
2004/03/04,434
2004/03/05,431
2004/03/06,423
2004/03/07,405
2004/03/08,384
2004/03/09,366
2004/03/10,352
2004/03/11,338
2004/03/12,333
2004/03/13,324
2004/03/14,317
2004/03/15,308
2004/03/16,301
2004/03/17,309
2004/03/18,315
2004/03/19,337
2004/03/20,365
2004/03/21,385
2004/03/22,419
2004/03/23,446
2004/03/24,464
2004/03/25,472
2004/03/26,480
2004/03/27,492
2004/03/28,504
2004/03/29,514
2004/03/30,524
2004/03/31,531
2004/04/01,533
2004/04/02,531
2004/04/03,528
2004/04/04,522
2004/04/05,514
2004/04/06,506
2004/04/07,502
2004/04/08,498
2004/04/09,494
2004/04/10,495
2004/04/11,501
2004/04/12,515
2004/04/13,530
2004/04/14,541
2004/04/15,549
2004/04/16,556
2004/04/17,565
2004/04/18,576
2004/04/19,583
2004/04/20,584
2004/04/21,580
2004/04/22,578
2004/04/23,576
2004/04/24,574
2004/04/25,572
2004/04/26,568
2004/04/27,567
2004/04/28,564
2004/04/29,564
2004/04/30,563
2004/05/01,560
2004/05/02,551
2004/05/03,540
2004/05/04,526
2004/05/05,511
2004/05/06,495
2004/05/07,482
2004/05/08,476
2004/05/09,477
2004/05/10,477
2004/05/11,471
2004/05/12,468
2004/05/13,470
2004/05/14,462
2004/05/15,449
2004/05/16,439
2004/05/17,429
2004/05/18,416
2004/05/19,407
2004/05/20,401
2004/05/21,405
2004/05/22,401
2004/05/23,393
2004/05/24,381
2004/05/25,375
2004/05/26,374
2004/05/27,379
2004/05/28,384
2004/05/29,382
2004/05/30,371
2004/05/31,361
2004/06/01,353
2004/06/02,354
2004/06/03,350
2004/06/04,351
2004/06/05,347
2004/06/06,341
2004/06/07,344
2004/06/08,362
2004/06/09,387
2004/06/10,406
2004/06/11,416
2004/06/12,413
2004/06/13,414
2004/06/14,416
2004/06/15,414
2004/06/16,414
2004/06/17,414
2004/06/18,419
2004/06/19,422
2004/06/20,422
2004/06/21,411
2004/06/22,392
2004/06/23,377
2004/06/24,366
2004/06/25,369
2004/06/26,376
2004/06/27,381
2004/06/28,378
2004/06/29,374
2004/06/30,372
2004/07/01,374
2004/07/02,377
2004/07/03,376
2004/07/04,372
2004/07/05,370
2004/07/06,365
2004/07/07,358
2004/07/08,360
2004/07/09,358
2004/07/10,349
2004/07/11,337
2004/07/12,330
2004/07/13,328
2004/07/14,323
2004/07/15,323
2004/07/16,324
2004/07/17,319
2004/07/18,315
2004/07/19,311
2004/07/20,306
2004/07/21,304
2004/07/22,307
2004/07/23,299
2004/07/24,292
2004/07/25,282
2004/07/26,279
2004/07/27,280
2004/07/28,285
2004/07/29,288
2004/07/30,303
2004/07/31,315
2004/08/01,336
2004/08/02,354
2004/08/03,365
2004/08/04,360
2004/08/05,347
2004/08/06,337
2004/08/07,325
2004/08/08,312
2004/08/09,300
2004/08/10,285
2004/08/11,272
2004/08/12,264
2004/08/13,261
2004/08/14,257
2004/08/15,255
2004/08/16,254
2004/08/17,249
2004/08/18,243
2004/08/19,239
2004/08/20,236
2004/08/21,238
2004/08/22,239
2004/08/23,239
2004/08/24,239
2004/08/25,239
2004/08/26,239
2004/08/27,237
2004/08/28,241
2004/08/29,244
2004/08/30,245
2004/08/31,245
2004/09/01,253
2004/09/02,266
2004/09/03,272
2004/09/04,269
2004/09/05,266
2004/09/06,266
2004/09/07,262
2004/09/08,251
2004/09/09,243
2004/09/10,240
2004/09/11,237
2004/09/12,234
2004/09/13,228
2004/09/14,225
2004/09/15,224
2004/09/16,219
2004/09/17,215
2004/09/18,216
2004/09/19,215
2004/09/20,213
2004/09/21,220
2004/09/22,220
2004/09/23,223
2004/09/24,224
2004/09/25,224
2004/09/26,224
2004/09/27,226
2004/09/28,230
2004/09/29,255
2004/09/30,284
2004/10/01,309
2004/10/02,321
2004/10/03,319
2004/10/04,308
2004/10/05,298
2004/10/06,289
2004/10/07,282
2004/10/08,274
2004/10/09,264
2004/10/10,257
2004/10/11,248
2004/10/12,244
2004/10/13,252
2004/10/14,247
2004/10/15,255
2004/10/16,268
2004/10/17,279
2004/10/18,283
2004/10/19,285
2004/10/20,290
2004/10/21,298
2004/10/22,309
2004/10/23,323
2004/10/24,326
2004/10/25,327
2004/10/26,326
2004/10/27,322
2004/10/28,316
2004/10/29,310
2004/10/30,300
2004/10/31,291
2004/11/01,281
2004/11/02,274
2004/11/03,272
2004/11/04,278
2004/11/05,287
2004/11/06,294
