date,height,error
2016-03-04,75.176,0.053
2016-03-31,73.159,0.0874
2016-04-27,73.099,0.1354
2016-05-24,73.783,0.1103
2016-06-20,74.434,0.1373
2016-07-17,73.087,0.0278
2016-08-13,73.674,0.0062
2016-09-09,72.044,0.1201
2016-10-06,71.661,0.1166
2016-11-29,73.244,0.07
2016-12-26,71.677,0.066
2017-01-22,73.001,0.0785
2017-02-18,72.739,0.0131
2017-03-17,74.049,0.0707
2017-04-13,73.226,0.1132
2017-05-10,74.083,0.0434
2017-06-06,72.721,0.1616
2017-07-03,71.965,0.0972
2017-07-30,72.584,0.0143
2017-08-26,72.808,0.0646
2017-09-22,72.861,0.0165
2017-10-19,72.211,0.0329
2017-11-15,72.786,0.0418
2017-12-12,72.686,0.0428
2018-01-08,74.261,0.0206
2018-02-04,73.949,0.0537
2018-03-03,72.955,0.0191
2018-03-30,74.752,0.0973
2018-04-26,74.464,0.0432
2018-05-23,74.189,0.1435
2018-06-19,73.625,0.0336
2018-07-16,72.529,0.1358
2018-08-12,71.175,0.0899
2018-09-08,72.432,0.0227
2018-10-05,71.052,0.0774
2018-11-01,71.665,0.0538
2018-11-28,71.091,0.0134
2018-12-25,71.471,0.0213
2019-01-21,73.16,0.0159
2019-02-17,73.273,0.0227
2019-03-16,73.842,0.1038
2019-04-12,73.172,0.0884
2019-05-09,73.611,0.0369
2019-06-05,75.891,0.0364
2019-07-02,73.713,0.0422
2019-07-29,71.673,0.0305
2019-08-25,71.72,0.1244
2019-09-21,71.907,0.0999
2019-10-18,71.903,0.1101
2019-11-14,72.604,0.0771
2019-12-11,72.254,0.0219
2020-01-07,72.34,0.0473
2020-02-03,71.725,0.0122
2020-03-01,73.199,0.0181
2020-03-28,72.751,0.0125
2020-04-24,71.884,0.0561
2020-05-21,72.383,0.1662
2020-06-17,73.066,0.1292
2020-07-14,73.209,0.0396
2020-08-10,73.831,0.0709
2020-09-06,73.226,0.0913
2020-10-03,72.854,0.135
2020-11-26,72.131,0.0539
2020-12-23,72.113,0.1209
2021-01-19,72.554,0.0134
2021-02-15,75.19,0.0539
2021-03-14,72.889,0.0064
2021-04-10,73.425,0.0653
2021-05-07,73.378,0.0373
2021-06-03,74.624,0.0953
2021-06-30,73.245,0.1402
2021-07-27,74.298,0.1036
2021-08-23,72.868,0.0617
2021-09-19,71.694,0.0923
2021-10-16,71.675,0.0398
2021-11-12,71.963,0.1274
2021-12-09,72.397,0.0239
2022-01-05,73.168,0.1468
2022-02-01,71.421,0.0129
2022-02-28,72.691,0.0387
2022-03-27,71.101,0.0191
2022-04-23,72.309,0.114
2022-05-20,72.036,0.1187
2022-06-16,72.752,0.0204
2022-07-13,71.307,0.139
2022-09-05,70.98,0.0845
2022-10-02,71.629,0.0449
2022-11-25,71.777,0.0525
