date,height,error
2016-03-09,77.24,0.0125
2016-04-05,75.368,0.1195
2016-05-02,74.868,0.051
2016-05-29,73.998,0.0353
2016-06-25,73.542,0.0012
2016-07-22,72.514,0.0306
2016-08-18,71.705,0.0357
2016-09-14,71.291,0.0218
2016-10-11,71.633,0.0012
2016-11-07,72.603,0.0273
2016-12-04,73.005,0.0542
2016-12-31,71.459,0.0165
2017-01-27,71.906,0.0285
2017-02-23,73.083,0.1895
2017-03-22,74.8,0.0078
2017-04-18,78.042,0.2769
2017-05-15,73.296,0.0034
2017-06-11,71.991,0.0204
2017-07-08,71.849,0.0264
2017-08-04,71.359,0.0517
2017-08-31,70.729,0.0264
2017-09-27,73.637,0.018
2017-10-24,71.272,0.0268
2017-11-20,73.588,0.034
2017-12-17,76.149,0.0201
2018-01-13,74.738,0.0049
2018-02-09,75.295,0.0013
2018-03-08,75.137,0.0598
2018-05-01,74.11,0.0916
2018-05-28,72.633,0.0453
2018-06-24,72.794,0.0345
2018-07-21,72.695,0.0367
2018-08-17,71.501,0.0246
2018-09-13,71.418,0.0071
2018-10-10,70.949,0.0365
2018-11-06,72.561,0.022
2018-12-03,73.018,0.0489
2018-12-30,72.952,0.0113
2019-01-26,72.52,0.0447
2019-02-22,73.869,0.0178
2019-04-17,74.453,0.0104
2019-05-14,74.974,0.0132
2019-06-10,75.934,0.0136
2019-07-07,71.944,0.0281
2019-08-03,71.886,0.0114
2019-08-30,71.362,0.052
2019-09-26,71.266,0.0215
2019-10-23,71.061,0.0384
2019-11-19,74.153,0.0333
2019-12-16,73.379,0.0509
2020-01-12,72.663,0.0048
2020-02-08,72.464,0.0123
2020-03-06,74.117,0.0176
2020-04-02,72.402,0.0309
2020-04-29,71.648,0.0162
2020-05-26,72.204,0.0058
2020-06-22,72.3,0.1337
2020-07-19,71.662,0.0154
2020-08-15,72.144,0.0346
2020-09-11,71.311,0.0203
2020-10-08,72.639,0.0056
2020-12-01,71.982,0.0097
2021-01-24,74.36,0.2468
2021-02-20,75.699,0.0367
2021-03-19,74.133,0.0439
2021-04-15,73.285,0.0153
2021-05-12,73.931,0.0217
2021-06-08,72.764,0.031
2021-07-05,71.603,0.0472
2021-08-01,71.365,0.0154
2021-08-28,70.88,0.0644
2021-09-24,71.014,0.0299
2021-10-21,71.963,0.0168
2021-11-17,72.627,0.0192
2021-12-14,75.364,0.0016
2022-01-10,74.146,0.0211
2022-02-06,72.187,0.0429
2022-03-05,72.987,0.0243
2022-04-01,72.289,0.0131
2022-04-28,73.186,0.0191
2022-05-25,72.26,0.004
2022-06-21,71.951,0.0548
2022-07-18,70.73,0.0387
2022-08-14,70.823,0.0124
2022-09-10,70.735,0.0204
2022-10-07,73.818,0.0313
2022-11-03,71.307,0.0259
