date,height,error
2018-12-08,73.302,0.0048
2019-01-04,74.807,0.02
2019-01-31,74.112,0.0919
2019-02-27,74.852,0.0055
2019-03-26,76.39,0.0048
2019-04-22,74.791,0.1193
2019-05-19,76.157,0.0611
2019-06-15,77.716,0.0559
2019-07-12,74.567,0.1583
2019-09-04,73.451,0.0692
2019-10-01,73.158,0.1503
2019-10-28,73.093,0.0522
2019-11-24,75.716,0.0335
2019-12-21,73.734,0.1159
2020-01-17,73.754,0.0383
2020-03-11,75.693,0.084
2020-04-07,76.121,0.0419
2020-05-04,74.112,0.0273
2020-05-31,74.502,0.0104
2020-06-27,76.558,0.0098
2020-07-24,75.354,0.1035
2020-08-20,74.88,0.0239
2020-09-16,75.678,0.059
2020-11-09,75.526,0.1176
2021-01-02,75.273,0.0625
2021-01-29,75.056,0.0627
2021-02-25,75.574,0.1274
2021-04-20,74.511,0.119
2021-05-17,75.497,0.0616
2021-07-10,74.51,0.1117
2021-08-06,75.166,0.0167
2021-09-02,75.049,0.0318
2021-09-29,73.417,0.148
2021-10-26,73.278,0.1279
2021-11-22,73.246,0.0072
2021-12-19,73.84,0.2004
2022-01-15,75.016,0.0641
2022-02-11,73.421,0.1036
2022-03-10,73.03,0.1942
2022-04-06,73.818,0.1448
2022-05-03,74.073,0.1089
2022-05-30,74.592,0.1293
2022-06-26,73.199,0.0235
2022-09-15,73.751,0.6951
2022-10-12,74.247,0.1027
