date,height,error
2018-12-17,72.25,0.1102
2019-01-13,72.447,0.0128
2019-02-09,73.424,0.0524
2019-03-08,73.429,0.0113
2019-05-01,73.459,0.0023
2019-05-28,75.111,0.0031
2019-06-24,74.712,0.0437
2019-07-21,72.158,0.0636
2019-08-17,71.817,0.0245
2019-09-13,72.266,0.0814
2019-10-10,71.608,0.0195
2019-11-06,71.275,0.0026
2019-12-03,72.668,0.0489
2019-12-30,73.634,0.026
2020-01-26,71.587,0.039
2020-02-22,73.246,0.0097
2020-03-20,73.691,0.006
2020-05-13,72.235,0.1255
2020-06-09,72.203,0.0242
2020-07-06,74.357,0.0486
2020-08-02,72.368,0.0459
2020-08-29,72.435,0.131
2020-09-25,71.543,0.0629
2020-10-22,74.76,0.0246
2020-11-18,72.467,0.0027
2020-12-15,72.592,0.0199
2021-01-11,73.423,0.0105
2021-02-07,74.843,0.038
2021-03-06,73.567,0.0329
2021-04-29,72.974,0.2083
2021-05-26,75.043,0.1345
2021-06-22,73.314,0.0728
2021-07-19,73.374,0.0245
2021-08-15,73.646,0.0399
2021-09-11,72.642,0.0357
2021-10-08,71.384,0.0397
2021-12-01,71.253,0.0201
2021-12-28,71.894,0.0152
2022-01-24,71.422,0.0674
2022-02-20,72.124,0.0217
2022-03-19,71.383,0.1451
2022-04-15,72.864,0.1016
2022-05-12,72.108,0.038
2022-06-08,71.78,0.0516
2022-07-05,71.734,0.0494
2022-08-28,71.303,0.0463
2022-09-24,72.008,0.0164
2022-10-21,71.341,0.1546
