date,height,error
2018-11-24,69.081,0.3634
2018-12-21,69.268,0.2038
2019-01-17,69.461,0.0419
2019-02-13,70.237,0.0044
2019-03-12,69.999,0.062
2019-04-08,69.685,0.0062
2019-05-05,70.176,0.0247
2019-06-01,70.451,0.1311
2019-07-25,69.187,0.073
2019-08-21,69.317,0.0614
2019-09-17,69.688,0.0643
2019-12-07,69.436,0.393
2020-01-03,69.933,0.0589
2020-01-30,69.399,0.0788
2020-02-26,69.704,0.1817
2020-03-24,69.745,0.0274
2020-05-17,69.537,0.0379
2020-06-13,69.537,0.0288
2020-07-10,69.985,0.0036
2020-09-02,69.367,0.1484
2020-09-29,69.469,0.0854
2020-10-26,70.143,0.1405
2020-12-19,69.687,0.1476
2021-02-11,70.566,0.0216
2021-03-10,69.933,0.0096
2021-04-06,70.004,0.0678
2021-05-03,69.756,0.1186
2021-05-30,70.504,0.1768
2021-06-26,69.466,0.1093
2021-07-23,69.8,0.0231
2021-08-19,69.497,0.0062
2021-09-15,69.369,0.1
2021-10-12,69.276,0.1568
2021-11-08,69.725,0.0289
2021-12-05,69.966,0.0212
2022-01-01,69.872,0.0078
2022-01-28,69.83,0.7774
2022-02-24,69.334,0.0994
2022-03-23,69.103,0.1008
2022-05-16,69.095,0.003
2022-09-28,69.146,0.0751
