date,height,error
2018-12-17,70.614,0.186
2019-01-13,69.738,0.1143
2019-02-09,72.478,0.0191
2019-03-08,70.138,0.0228
2019-05-01,70.87,0.003
2019-05-28,72.63,0.022
2019-07-21,69.507,0.0531
2019-08-17,69.258,0.0489
2019-09-13,69.41,0.1644
2019-10-10,69.379,0.0083
2019-12-30,71.974,0.0021
2020-01-26,69.594,0.0084
2020-05-13,69.234,0.0339
2020-06-09,69.9,0.0029
2020-07-06,70.778,0.0945
2020-08-02,69.798,0.0481
2020-08-29,69.677,0.0061
2020-09-25,69.328,0.0277
2020-11-18,70.135,0.2252
2020-12-15,70.853,0.012
2021-01-11,72.513,0.0316
2021-02-07,73.141,0.0517
2021-03-06,72.014,0.1412
2021-07-19,69.808,0.08
2021-08-15,70.014,0.0562
2021-09-11,69.723,0.1656
2021-11-04,69.695,0.0348
2021-12-01,70.182,0.015
2021-12-28,70.931,0.0531
2022-01-24,70.065,0.0346
2022-02-20,70.622,0.0044
2022-03-19,69.606,0.0344
2022-04-15,70.36,0.1276
2022-05-12,69.567,0.0848
2022-06-08,69.297,0.0214
2022-08-01,69.208,0.0027
2022-08-28,69.074,0.0301
2022-09-24,70.537,0.1172
2022-10-21,69.906,0.7379
2022-11-17,69.808,0.2018
