date,height,error
2016-03-13,72.159,0.001
2016-05-06,70.557,0.0619
2016-06-02,70.224,0.0395
2016-06-29,70.738,0.01
2016-07-26,70.201,0.0237
2016-08-22,69.762,0.0064
2016-09-18,69.26,0.0474
2016-10-15,69.463,0.0217
2016-11-11,70.404,0.0264
2016-12-08,69.531,0.0244
2017-01-04,69.274,0.0014
2017-01-31,69.127,0.0161
2017-02-27,70.425,0.0056
2017-04-22,69.733,0.0939
2017-05-19,70.558,0.0619
2017-06-15,69.613,0.0771
2017-07-12,69.13,0.0556
2017-08-08,69.388,0.0116
2017-09-04,69.249,0.0012
2017-11-24,69.881,0.0408
2017-12-21,71.336,0.0315
2018-01-17,71.388,0.0142
2018-02-13,71.08,0.0346
2018-03-12,70.822,0.052
2018-06-01,69.828,0.0878
2018-06-28,69.871,0.0228
2018-07-25,69.632,0.0235
2018-08-21,69.15,0.0012
2018-09-17,69.148,0.0196
2018-12-07,69.11,0.0288
2019-01-03,70.136,0.0405
2019-01-30,69.565,0.0208
2019-03-25,70.644,0.0128
2019-04-21,70.324,0.0435
2019-05-18,71.28,0.05
2019-06-14,71.983,0.0107
2019-07-11,69.725,0.0076
2019-08-07,69.491,0.0473
2019-09-03,68.922,0.0489
2020-01-16,69.336,0.0741
2020-02-12,70.527,0.0425
2020-03-10,70.937,0.06
2020-04-06,69.825,0.039
2020-05-30,69.429,0.0243
2020-07-23,69.832,0.0263
2020-08-19,70.491,0.0272
2020-09-15,69.854,0.0158
2020-11-08,70.287,0.0138
2020-12-05,69.569,0.0094
2021-01-28,70.488,0.0164
2021-02-24,71.185,0.0553
2021-05-16,70.48,0.0156
2021-06-12,70.061,0.0897
2021-08-05,69.705,0.0107
2021-09-01,69.501,0.0549
2021-09-28,69.236,0.0351
2021-10-25,69.11,0.0312
2021-11-21,69.459,0.0162
2021-12-18,70.018,0.0581
2022-02-10,69.7,0.0078
2022-03-09,69.875,0.0047
2022-04-05,69.83,0.01
2022-05-02,70.197,0.0195
2022-05-29,69.666,0.0153
2022-06-25,69.403,0.006
2022-08-18,68.919,0.0785
2022-10-11,70.131,0.0284
