date,height,error
2018-12-20,68.919,0.0235
2019-01-16,69.168,0.0595
2019-02-12,68.435,0.0594
2019-03-11,69.377,0.0424
2019-04-07,68.946,0.0182
2019-05-04,68.52,0.0603
2019-05-31,67.82,0.0211
2019-06-27,68.451,0.088
2019-07-24,68.632,0.013
2019-08-20,69.194,0.0158
2019-09-16,69.171,0.0156
2019-10-13,69.054,0.005
2019-11-09,69.019,0.0048
2019-12-06,68.803,0.0072
2020-01-02,68.906,0.022
2020-01-29,69.107,0.0041
2020-02-25,69.382,0.5122
2020-03-23,68.973,0.0343
2020-04-19,69.098,0.0106
2020-05-16,69.179,0.018
2020-06-12,69.196,0.0302
2020-07-09,68.086,0.0323
2020-08-05,69.034,0.0746
2020-09-01,69.047,0.002
2020-10-25,68.903,0.1811
2020-11-21,69.177,0.0628
2020-12-18,68.939,0.0139
2021-01-14,68.382,0.1457
2021-02-10,66.543,0.0516
2021-03-09,68.726,0.0438
2021-04-05,68.765,0.0106
2021-05-02,68.558,0.0218
2021-05-29,68.593,0.0248
2021-06-25,68.787,0.051
2021-07-22,69.016,0.0075
2021-08-18,69.144,0.0135
2021-09-14,68.904,0.0678
2021-10-11,68.751,0.0416
2021-12-04,69.071,0.0338
2021-12-31,68.45,0.1072
2022-01-27,68.284,0.043
2022-02-23,68.435,0.022
2022-03-22,68.282,0.0062
2022-05-15,68.502,0.03
2022-06-11,68.597,0.0713
2022-07-08,68.502,0.0261
2022-08-04,68.656,0.0275
2022-08-31,68.734,0.0476
2022-09-27,68.592,0.0413
2022-10-24,68.457,0.0176
2022-11-20,68.588,0.0085
