date,height,error
2016-03-08,70.698,0.1277
2016-04-04,69.694,0.0467
2016-05-28,70.082,0.022
2016-06-24,70.141,0.2378
2016-07-21,69.654,0.2499
2016-08-17,69.761,0.0274
2016-10-10,69.172,0.1356
2016-11-06,69.502,0.0427
2016-12-03,69.596,0.2
2016-12-30,69.023,0.1156
2017-01-26,69.061,0.0888
2017-02-22,69.412,0.0136
2017-03-21,69.958,0.0583
2017-05-14,69.726,0.222
2017-06-10,69.219,0.0839
2017-07-07,69.353,0.2551
2017-08-03,69.364,0.1442
2017-08-30,69.022,0.1636
2017-09-26,69.566,0.0216
2017-10-23,69.004,0.1144
2017-11-19,69.719,0.1425
2017-12-16,70.061,0.1597
2018-01-12,70.285,0.1275
2018-02-08,70.61,0.0992
2018-03-07,69.536,0.2499
2018-04-30,70.576,0.0513
2018-07-20,69.631,0.0717
2018-09-12,68.922,0.138
2018-10-09,68.787,0.1205
2018-11-05,69.368,0.0248
2018-12-29,68.561,0.4217
2019-01-25,69.447,0.0095
2019-02-21,69.587,0.0074
2019-03-20,70.004,0.024
2019-04-16,70.116,0.0392
2019-05-13,70.521,0.0188
2019-06-09,71.391,0.0414
2019-07-06,69.579,0.229
2019-08-02,68.943,0.0047
2019-09-25,68.772,0.0912
2019-10-22,68.77,0.0451
2019-11-18,69.447,0.0014
2019-12-15,69.646,0.0163
2020-01-11,68.991,0.1195
2020-02-07,69.234,0.2159
2020-03-05,69.866,0.0349
2020-04-01,69.856,0.1653
2020-04-28,69.247,0.2299
2020-06-21,69.709,0.059
2020-07-18,69.369,0.0645
2020-08-14,69.598,0.0391
2020-09-10,69.261,0.0567
2020-10-07,69.465,0.1733
2020-11-30,69.064,0.0538
2020-12-27,69.181,0.2487
2021-01-23,70.249,0.0905
2021-02-19,71.52,0.0667
2021-03-18,69.805,0.0196
2021-04-14,69.878,0.0433
2021-05-11,70.174,0.1043
2021-06-07,69.905,0.1792
2021-07-04,69.29,0.0201
2021-07-31,69.316,0.0292
2021-08-27,69.322,0.0043
2021-09-23,68.796,0.0131
2021-11-16,69.375,0.0189
2021-12-13,69.843,0.0854
2022-01-09,69.939,0.1293
2022-02-05,69.074,0.0119
2022-03-04,69.551,0.1657
2022-03-31,69.461,0.006
2022-04-27,69.501,0.2267
2022-05-24,69.593,0.0786
2022-06-20,69.306,0.1322
2022-07-17,68.801,0.0393
2022-08-13,68.991,0.209
2022-10-06,69.092,0.0669
2022-11-02,69.096,0.0886
