date,height,error
2016-03-09,78.322,0.1206
2016-04-05,75.33,0.1013
2016-05-02,72.888,0.1278
2016-05-29,74.607,0.1514
2016-06-25,74.091,0.0708
2016-07-22,73.26,0.0423
2016-08-18,76.031,0.0247
2016-09-14,72.223,0.0223
2016-10-11,72.553,0.0015
2016-12-31,72.277,0.0025
2017-02-23,74.111,0.0124
2017-03-22,74.417,0.0027
2017-04-18,73.054,0.1215
2017-05-15,73.957,0.0964
2017-06-11,72.674,0.0851
2017-07-08,72.566,0.0131
2017-08-04,71.91,0.034
2017-08-31,71.478,0.0303
2017-10-24,71.879,0.1364
2017-11-20,74.331,0.0235
2017-12-17,77.192,0.0734
2018-01-13,75.742,0.0332
2018-02-09,76.247,0.0073
2018-03-08,76.054,0.0494
2018-04-04,78.419,0.0718
2018-05-01,74.674,0.0427
2018-05-28,76.374,0.0231
2018-06-24,73.578,0.0054
2018-07-21,73.246,0.0509
2018-08-17,72.36,0.0631
2018-09-13,72.099,0.0316
2018-10-10,71.604,0.1646
2018-12-03,73.833,0.0229
2018-12-30,73.766,0.0104
2019-01-26,73.073,0.0473
2019-02-22,74.032,0.3428
2019-03-21,73.811,0.077
2019-04-17,75.333,0.0572
2019-05-14,75.803,0.093
2019-06-10,76.584,0.0014
2019-08-03,72.537,0.0449
2019-08-30,72.435,0.0019
2019-09-26,72.005,0.0162
2019-10-23,71.804,0.0107
2019-11-19,74.926,0.0061
2019-12-16,74.273,0.014
2020-02-08,72.93,0.0118
2020-03-06,74.927,0.1387
2020-04-02,73.196,0.0045
2020-04-29,72.343,0.1727
2020-05-26,72.695,0.0519
2020-06-22,72.837,0.2369
2020-07-19,72.385,0.0056
2020-08-15,72.775,0.0074
2020-09-11,71.757,0.0051
2020-10-08,73.482,0.1254
2020-12-01,75.662,0.1539
2020-12-28,77.595,0.1649
2021-02-20,77.126,0.0601
2021-03-19,74.928,0.0676
2021-04-15,74.198,0.0508
2021-05-12,74.659,0.0236
2021-06-08,72.581,0.1412
2021-07-05,72.303,0.0078
2021-08-28,71.792,0.0118
2021-09-24,71.537,0.113
2021-10-21,72.645,0.0225
2021-11-17,73.332,0.0017
2021-12-14,76.279,0.0011
2022-01-10,74.952,0.0013
2022-02-06,72.934,0.0978
2022-03-05,73.72,0.0783
2022-04-01,73.023,0.0219
2022-04-28,74.091,0.0031
2022-05-25,72.817,0.1265
2022-07-18,71.548,0.0379
2022-08-14,71.68,0.0598
2022-09-10,71.882,0.0011
2022-10-07,74.677,0.1555
2022-11-03,71.658,0.0519
